IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP26;IP_PROP13;IP_PROP24;IC_GROUP0;IC_GROUP1;IC_GROUP2
54;Наклейки;54;Y;;;/upload/iblock/744/nakleyka.jpg;;text;/upload/iblock/291/Без названия (9).png;"Итак, прежде всего наклейки могут нести какую-нибудь полезную информацию. Например, вы являетесь владельцем какого-нибудь магазина и хотите устроить акцию. Для того, чтобы оповестить об этом своих потенциальных клиентов, вы можете наклеить у схода в свой магазин соответствующую наклейку. После окончания акции вам не составит труда убрать наклейку. Даже наклейки могут служить в рекламных целях. 
Также вы можете использовать наклейки в качестве своеобразного подарка для своих клиентов. Это может поспособствовать тому, что ваши клиенты станут приходить к вам снова и снова.";text;nakleyki;500;;ПЕШТА - Заказать наклейки в Ижевске. Изготовление наклеек;Нет;;Инструменты для упаковки Вашего продукта;;
55;Бирки;55;Y;;;/upload/iblock/95a/tags.jpg;;text;/upload/iblock/ba5/Без названия (8).png;"Бирки для одежды помогают вашим потенциальным клиентам ориентироваться в предложенном вами товаре. Такие изделия являются обязательным элементом любой продукции, изготовленной из ткани или кожи. Их можно встретить на верхней одежде, футболках, брюках, купальниках, сапогах или даже постельном белье. Такие, казалось бы, незначительные детали предоставляют всю информацию о товаре, помогая покупателям сориентироваться в ассортименте магазина.
Из таких лейблов можно узнать:

- Где была произведена продукция;
- Состав ткани;
- Название бренда;
- Особенности товара;
- Правила ухода и т.д.

Однако заказать печать бирок для одежды следует не только с точки зрения распространения сведений о продукции. Такие элементы становятся отличными помощниками в продвижении собственного бренда. Этому способствует размещение на одной из этикеток названия фирмы, ее логотипа или слогана.";text;birki;500;;ПЕШТА - Заказать бирки в Ижевске. Изготовление бирок;Нет;;Инструменты для упаковки Вашего продукта;;
56;Тех. паспорта;56;Y;;;/upload/iblock/cd9/teh passport.jpg;;text;/upload/iblock/a32/Без названия (7).png;Мы живём в мире высоких технологий, когда поток информации буквально захлёстывает, его трудно самостоятельно осмыслить и переработать. На помощь нам приходят всевозможные инструкции, помогающие ориентироваться в различных областях: при эксплуатации всевозможных механизмов, приборов, промышленной и бытовой техники, при употреблении лекарств, при возникновении нештатных ситуаций. Краткое и понятное описание в инструкции очень важно для покупателя товара. Также в инструкции могут располагаться картинки, наглядно показывающие, как пользоваться купленным предметом.;text;tekh-pasporta;500;;ПЕШТА - Заказать тех. паспорта в Ижевске. Изготовление тех. паспортов;Нет;;Инструменты для упаковки Вашего продукта;;
57;Воблеры;57;Y;;;/upload/iblock/3e9/vobler.jpg;;text;/upload/iblock/e3e/Без названия (18).png;"Воблер - вид полиграфической продукции стал популярен относительно недавно. Он получил признание благодаря своей удобной и необычной форме. Что такое воблер? В переводе это слово означает «колебаться дрожать», а также имеет значение «наживка», и он действительно очень привлекает внимание клиентов, вызывая положительные эмоции.

Воблер представляет собой рекламный носитель, который можно прикрепить к любой поверхности - к стенам, прилавкам, витринам, стойкам. Фигурка из плотной бумаги различных форм крепится на гибкой ножке.";text;voblery;500;;ПЕШТА - Заказать воблеры в Ижевске. Изготовление воблеров;Нет;;Материалы для точек продаж;;
58;Шелфтокеры;58;Y;;;/upload/iblock/4d4/shelftalker.jpg;;text;/upload/iblock/42b/Без названия (17).png;"Шелфтокер — это рекламный материал в виде небольшой полоски из картона, пластика или металла, который привлекает внимание посетителей к выкладке товара на полках магазина. Так как сегодня в супермаркетах выкладка ориентирована не только горизонтально, но и вертикально, приходится прибегать к различным ухищрениям, чтобы покупатель остановился именно у вашей продукции.

В маркетинге шелфтокеры служат POS-материалом — то есть рекламой, располагающейся непосредственно у товара или места продажи, акции. Они позволяют, во-первых, выделить продукцию среди остальных при помощи ярких красок и объёмных фигур, во-вторых, занять место на полке и не дать другим товарам возможности «посягнуть» на него. Так как шелфтокеры располагаются на всю длину выкладки, другой товар, попавший в эту зону, будет смотреться нелепо — под брендом конкурента. Именно поэтому никакой мерчендайзер не решит занять вашу площадь своим товаром, даже если вашу продукцию уже разобрали и полки пустуют.

В рекламном деле шелфтокеры помогают общаться с клиентом, сообщать ему о скидках, акциях, выделять товар среди прочих. Поэтому недаром этот рекламный материал так называется — термин происходит от английских слов «shelf» и «talker», что означает примерно «говорящая полка».";text;shelftokery;500;;ПЕШТА - Заказать шелфтокеры в Ижевске. Изготовление шелфтокеров;Нет;;Материалы для точек продаж;;
59;Афиши;59;Y;;;/upload/iblock/64b/Без имени-1.jpg;;text;/upload/iblock/8bb/Без названия (16).png;В настоящее время афиша занимает одно из значимых мест в рекламе и в проведении рекламных акций. Одним словом, афиша - это своего рода объявление. Чаще всего афишу используют в киноиндустрии и в театре.;text;afishi;500;;ПЕШТА - Заказать афиши в Ижевске. Изготовление афиш;Нет;;Материалы для точек продаж;;
60;Ценники;60;Y;;;/upload/iblock/653/price.jpg;;text;/upload/iblock/c4c/Без названия (15).png;"Так, что такое ценник? Ценник — это, прежде всего, изделие указывающее на цену товара. Ценники, обычно, делают из бумаги, картона, пластика или самоклеющиеся. Ценник предоставляет всю необходимую информацию для потребителя — наименование товара, цена товара, страна производитель и прочее. Практически ни один человек не совершает покупки без уточнения первоочередной информации о товаре, а если у товара нет ценника, то такой товар может быть не тронут покупателями долгое время. Таким образом, ценник — это некий двигатель торговли, а если использовать маркетинговые хитрости, то ценник может стать эффективным инструментом продаж. 
Какие бывают виды ценников? Ценники бывают двух основных типов:
Обычные — информируют о цене товара.
Необычные или продающие — повышают интерес к товару, тем самым увеличивая спрос не него.";text;tsenniki;500;;ПЕШТА - Заказать ценники в Ижевске. Изготовление ценников;Нет;;Материалы для точек продаж;;
61;Тейбл-тенты;61;Y;;;/upload/iblock/a8a/table tent.jpg;;text;/upload/iblock/c53/Без названия (14).png;Тейбл тент применяется для размещения информации и рекламы на столах или барных стойках, при этом, является эффективным средством продвижения товара. Тейблтенты позволяют разместить информацию или рекламу на столе непосредственно перед глазами посетителей.  Эффективность тейбл-тент обуславливается тем, что посетитель в ожидании обслуживания имеет возможность уделить информационному сообщению на тейбл-тенте некоторое время, даже не в силу потенциальной заинтересованности сообщением.;text;teybl-tenty;500;;ПЕШТА - Заказать тейбл-тенты в Ижевске. Изготовление тейбл-тентов;Нет;;Материалы для точек продаж;;
62;Фирменные папки;62;Y;;;/upload/iblock/9c2/papka.jpg;;text;/upload/iblock/486/Без названия (22).png;"Те бизнесмены, которые понимают смысл сувенирной и корпоративной продукции, знают, для чего нужна фирменная папка. Ее преимущества заключаются сразу в нескольких аспектах:

- Это полезный вид канцелярских принадлежностей для делопроизводства, который пригодится во всех отделах вашего предприятия;

- Это очень ценный рекламный носитель, который может работать на продвижение компании.

Наличие фирменных папок автоматически снимает вопрос по снабжению сотрудников необходимыми материалами для работы. В такой папке можно передавать документы на подпись руководителю и договоры партнерам, ознакомительные материалы на совещаниях и презентациях, рекламную полиграфию на всевозможных выставках.
";text;firmennye-papki;500;;ПЕШТА - Заказать фирменные папки в Ижевске. Изготовление папок;Нет;;Элементы фирменного стиля;;
63;Бланки;63;Y;;;/upload/iblock/882/blank.jpg;;text;/upload/iblock/cfd/Без названия (21).png;"Различные виды бланков документов актуальны для одновременного выполнения нескольких задач.
Сокращают время на оформление документации. Заготовка уже содержит информацию постоянного характера, что упрощает и ускоряет набор данных.
Исключают вероятность ошибки в реквизитах. Достаточно скрупулезно проверить заполненные поля один раз во время подготовки шаблона.
Облегчают восприятие написанного текста. Четкая структура и привычное расположение сведений ускоряют процесс обработки необходимых данных.
Печать фирменных бланков повышает престиж компании в глазах клиентов и партнеров, особенно если листы оформляются типографским способом.
";text;blanki;500;;ПЕШТА - Заказать бланки в Ижевске. Изготовление бланков;Нет;;Элементы фирменного стиля;;
64;Визитки;64;Y;;;/upload/iblock/0ed/2019-07-16-nar5g1_1000x0_921.png;;text;/upload/iblock/e23/Без названия (20).png;"Хорошая визитная карточка – это атрибут современного делового человека, серьёзного бизнесмена, которая несёт информацию о его личности или представляемой им организации. Изготавливаются на бумаге, картоне, металле и любом подходящем материале.

Владелец имеет возможность чётко и ясно представить себя, как бизнесмена и делового человека. Визитные карточки пригодятся на важных мероприятиях, на которых можно встретить нужного и полезного в дальнейшем человека.";text;vizitki;500;;ПЕШТА - Заказать визитки в Ижевске. Изготовление визиток от 2 руб. за штуку;Да;53;Элементы фирменного стиля;;
65;Ежедневники;65;Y;;;/upload/iblock/efa/diary.jpg;;text;/upload/iblock/760/Без названия (19).png;Производство индивидуальных ежедневников с логотипом на заказ – одна из самых интересных областей деловой полиграфии. Вариантов дизайна изделий столько, что, микшируя их, можно всегда легко получить свой уникальный экземпляр. А при нанесении на него логотипа компании он становится неотъемлемой частью корпоративного имиджа фирмы.;text;ezhednevniki;500;;ПЕШТА - Заказать ежедневники в Ижевске. Изготовление ежедневников;Нет;;Элементы фирменного стиля;;
66;Печати и штампы;66;Y;;;/upload/iblock/685/stampo.jpg;;text;/upload/iblock/32e/Без названия (27).png;"В обычной жизни человек не использует печати. Если требуется идентификация личности, можно поставить отпечаток пальца. Это индивидуальный знак.
А для решения деловых вопросов с глубокой древности люди стали применять приспособления, их делали из камня, кости, ценных пород дерева. У правителей этой цели служили перстни.

В настоящее время печать - это устройство, клише, изготовленное из резины или полимера, которое служит для нанесения оттиска на бумаге с полным названием фирмы, местом её нахождения и другими данными.
Проставление печати – это ритуал, священный акт, который скрепляет договоренности.
Различают:

- Гербовые печати (ГОСТ Р 51511-2000);
- Основные для мелкого бизнеса, адвокатов, нотариусов, врачей, требования к ним не такие жесткие;
- Дополнительные, для разных направлений деятельности.

Наличие печати служит подтверждением подлинности, а штамп ставят для замены повторяющихся надписей.
";text;pechati-i-shtampy;100;;ПЕШТА - Заказать печати и штампы в Ижевске. Изготовление печатей от 200 руб;Да;63;Внутреннее использование;;
67;Журналы учета;67;Y;;;/upload/iblock/1b5/katalog.jpg;;text;/upload/iblock/3ec/Без названия (26).png;"Наша типография предлагает оперативное изготовление книг и журналов учёта и иной учётной документации в широком ассортименте и по низким ценам. Как чёрно-белых, так и многоцветных.

Большая часть предприятий и организаций, которые ведут свою деятельность на наших просторах, используют в своей работе различные журналы для учета. Благодаря им можно легко и эффективно следить за товарооборотом, грамотно производить работу по персоналу, знакомить сотрудников с техникой безопасности и выполнять множество других важных и нужных действий. ";text;zhurnaly-ucheta;500;;ПЕШТА - Заказать журналы учета в Ижевске. Изготовление журналов учета;Нет;;Внутреннее использование;;
68;Бейджи;68;Y;;;/upload/iblock/765/2019-07-16-nar5g1_1000x0_921.png;;text;/upload/iblock/422/Без названия (25).png;Многие из нас знают что бейдж – это табличка не больших размеров. Не смотря на свою крохотность, бейджам удалось достигнуть высокого уровня популярности в области предоставления различного рода услуг, выставках, ярмарках, семинарах, конференциях, съездах и тому подобных мероприятиях. Компании, где работает большой штат сотрудников, также смогли по достоинству оценить все положительные особенности этих карточек. В целом бейдж представляет собой именную визитку, которая дает возможность существенно облегчить процесс общения с людьми. Кроме того бейдж с уверенностью можно назвать визитной карточкой компании, организации и так далее, уважающей собственных клиентов и показывает их готовность к дальнейшей плодотворной работе. Бейдж может иметь несколько вариантов крепления, а точнее крепится на одежду с помощью булавки, магнита или же вешаться на шею с помощью специального шнурка. Зачастую на бейджике указано фамилию, имя, отчество, фирму, должность. В зависимости от необходимости на бейджике может быть личное фото.;text;beydzhi;500;;ПЕШТА - Заказать бейджи в Ижевске. Изготовление бейджей;Нет;;Внутреннее использование;;
69;Блокноты;69;Y;;;/upload/iblock/36c/notepad.jpg;;text;/upload/iblock/c6a/notepad.jpg;"В каждом офисе есть общие предметы, т.е. вне зависимости от масштабов производства, от количества сотрудников и от прочих факторов, например, такие как ручки, блокноты, папки и прочие канцелярские принадлежности. Каждая компания, которая следит за своим имиджем, знает, как важно иметь в наличии канцелярские принадлежности с фирменной символикой. В данной статье рассмотрим что такое фирменные блокноты и для чего они нужны развивающимся компаниям.

Блокнот, по большому счету, является универсальным предметом, в том плане, что в нем можно делать любые пометки, как важные, так и незначительные. Если сравнивать блокноты с ежедневниками, то ежедневники являются более официальным носителем важной информации сотрудника, в которых записываются важные встречи, пометки и записи, а вот блокноты предназначены для ежедневных пометок любого характера.

Блокноты с логотипом — это тот рекламный инструмент, который постоянно перед глазами, поэтому изготовление блокнотов столь актуально и востребовано в мире бизнеса. Блокнот является незаменимым атрибутом канцелярских принадлежностей в любом офисе, который предназначен для ведения записей и пометок.
";text;bloknoty;500;;ПЕШТА - Заказать блокноты в Ижевске. Изготовление блокнотов;Нет;;Внутреннее использование;;
70;Бланки;70;Y;;;/upload/iblock/98a/blank.jpg;;text;/upload/iblock/8fe/Без названия (23).png;"Различные виды бланков документов актуальны для одновременного выполнения нескольких задач. Сокращают время на оформление документации. Заготовка уже содержит информацию постоянного характера, что упрощает и ускоряет набор данных. Исключают вероятность ошибки в реквизитах. Достаточно скрупулезно проверить заполненные поля один раз во время подготовки шаблона.
Облегчают восприятие написанного текста. Четкая структура и привычное расположение сведений ускоряют процесс обработки необходимых данных. Печать фирменных бланков повышает престиж компании в глазах клиентов и партнеров, особенно если листы оформляются типографским способом.
";text;blanki-dlya-vnutrennego-ispolzovaniya;500;;ПЕШТА - Заказать бланки в Ижевске. Изготовление бланков;Нет;;Внутреннее использование;;
71;Календари;71;Y;;;/upload/iblock/0be/calendar.jpg;;text;/upload/iblock/3c6/Без названия (31).png;"В наши дни фирменные календари стали частью корпоративной культуры предприятия. И практически все крупные компании стараются выпустить свою партию календарей перед Новогодними праздниками. Ведь оригинальный и стильный календарь с символикой предприятия - это очень эффективный и долговечный рекламоноситель, так как он целый год находится перед глазами ваших потенциальных клиентов, тем самым способствуя росту популярности предприятия.

Кто-то любит вешать календари на стену, кому-то важно, чтобы рабочий стол украшал маленький календарь домик или перекидной, а некоторые и вовсе пользуются карманными календарями. То есть, даря календарь, вы можете быть уверенны, что его не выкинут в мусорное ведро в тот же день, ведь это очень полезный подарок, который можно использовать весь последующий год.
";text;kalendari;500;;ПЕШТА - Заказать календари в Ижевске. Изготовление календарей;Нет;;Подарки корпоративные;;
72;Открытки;72;Y;;;/upload/iblock/f70/otkrytka.jpg;;text;/upload/iblock/381/Без названия (30).png;"Открытка в наше время – неотъемлемый символ любого торжества, чтобы показать внимание, уважение и заботу; чтобы написать те заветные слова, которые мы не можем сказать вслух; чтобы быть ближе с теми, которые от нас далеко живут; чтобы напоминать о нас тем, которые уже позабыли.

В открытке можно выразить миллионы своих чувств. А поводов может быть уйма: День Рожденья и Новый Год, свадьба и рождение ребенка, новоселье и крестины, 8 марта и 23 февраля, День влюбленных и Пасха, а еще куча профессиональных, семейных праздников и просто солнечных дней
";text;otkrytki;500;;ПЕШТА - Заказать открытки в Ижевске. Изготовление открыток;Нет;;Подарки корпоративные;;
73;Фото книги;73;N;;;/upload/iblock/07d/katalog2.jpg;;text;/upload/iblock/28e/Без названия (29).png;;text;foto-knigi;500;;ПЕШТА - Заказать фото книги в Ижевске. Изготовление фото книг;Нет;;Подарки корпоративные;;
